threshold,precision,recall,f1,model
0.47000000000000003,0.5580032809936724,0.7021527572987319,0.6218333768607992,mlp
0.48000000000000004,0.5618752974773917,0.6962547920967266,0.6218885815883051,mlp
0.49,0.5657766990291262,0.6874078442937187,0.6206896551724138,mlp
0.5,0.5718177315502724,0.6809200825715128,0.6216179835778705,mlp
0.51,0.5769230769230769,0.6767915069301091,0.6228796308861446,mlp
0.52,0.5803228285933897,0.6679445591271012,0.6210584041678091,mlp
0.53,0.5832899531494014,0.6608670008846947,0.6196598921609291,mlp
0.54,0.5865257595772787,0.6546741374225892,0.6187290969899666,mlp
0.55,0.5897986577181208,0.6478914774402831,0.6174817313097246,mlp
0.56,0.594957522608934,0.6402241226776763,0.6167613636363637,mlp
0.5700000000000001,0.5985503206021745,0.6331465644352698,0.6153625680710806,mlp
0.5800000000000001,0.603125,0.6260690061928634,0.6143828678917668,mlp
0.59,0.6056745801968731,0.6169271601297552,0.6112490869247627,mlp
0.6,0.6121965660153937,0.6098496018873488,0.6110208302555769,mlp
0.61,0.6167017122258937,0.6054261279858448,0.6110119047619048,mlp
0.62,0.6198651134273452,0.5962842819227366,0.60784608447317,mlp
0.63,0.6233239787963829,0.5895016219404305,0.6059411943013034,mlp
0.64,0.6276562004440216,0.5836036567384253,0.6048288508557457,mlp
0.65,0.6321578777094792,0.5762312002359186,0.6029003394014193,mlp
0.66,0.6399470023186485,0.5697434385137128,0.6028081123244929,mlp
0.67,0.6452702702702703,0.5632556767915069,0.6014800818768697,mlp
0.68,0.6503279254401104,0.5555883220289001,0.5992366412213741,mlp
0.6900000000000001,0.6546863988724454,0.5479209672662931,0.596564456574089,mlp
0.7000000000000001,0.6596896427282569,0.5390740194632851,0.5933138591366439,mlp
0.7100000000000001,0.6653181316660537,0.5334709525213801,0.5921440261865794,mlp
0.72,0.6733308185590343,0.5263933942789738,0.5908639523336644,mlp
0.73,0.6797360248447205,0.5163668534355648,0.5868945868945868,mlp
0.74,0.6837504966229638,0.5075199056325568,0.5825998645903859,mlp
0.75,0.6912724306688418,0.49985255086994984,0.5801814136573678,mlp
0.76,0.6971860562788744,0.4895311117664406,0.5751905751905751,mlp
0.77,0.7015503875968992,0.48038926570333235,0.5702783126203396,mlp
0.78,0.7064786249449097,0.47272191094072546,0.5664310954063604,mlp
0.79,0.7159709618874773,0.4653494544382188,0.5640750670241287,mlp
0.8,0.7229254571026723,0.4547331170746093,0.558291093410572,mlp
0.81,0.7280617164898746,0.44529637275140077,0.5526075022872827,mlp
0.8200000000000001,0.7333994053518335,0.4364494249483928,0.547236088001479,mlp
0.8300000000000001,0.7403796818881477,0.42553818932468296,0.5404494382022472,mlp
0.8400000000000001,0.7513397642015005,0.4134473606605721,0.5333840593494389,mlp
0.85,0.7562604340567612,0.4007667354762607,0.5239013107170393,mlp
0.86,0.7643312101910829,0.38926570333235033,0.5158264947245017,mlp
0.87,0.7728096676737161,0.37717487466823946,0.5069361870788743,mlp
0.88,0.778207607994842,0.35594219994102033,0.4884662080129502,mlp
0.89,0.790521978021978,0.33942789737540546,0.47493294821539095,mlp
0.9,0.8001448225923244,0.3258625774107933,0.4631181894383906,mlp
0.91,0.8055130168453293,0.3102329696254792,0.447945497125825,mlp
0.92,0.8128559804719284,0.29460336184016517,0.43246753246753245,mlp
0.93,0.8240495137046862,0.27484517841344736,0.41220698805838124,mlp
0.9400000000000001,0.8365758754863813,0.25361250368622823,0.3892283322018556,mlp
0.9500000000000001,0.8478964401294499,0.2317900324388086,0.36405743399722096,mlp
0.9600000000000001,0.8623279098873592,0.20318490120908286,0.3288782816229117,mlp
0.97,0.8789308176100629,0.16484812739604837,0.2776260243357338,mlp
0.98,0.9164835164835164,0.12297257446181067,0.21684867394695787,mlp
0.99,0.9385245901639344,0.06753170156296077,0.12599724896836315,mlp
